id,overall-ratings,summary,pros,cons
66,5,Great Company Who Cares About Employees,Very positive company culture and support from all levels,Employment was based on passing the series 6 in a short amount of time. I was unaware at the time of hire my employment was contingent upon passing the test the first attempt and that I would be terminated immediately. I happened to be among the first round of employees they were terminating upon failure of series 6 on first attempt. Prior to me if an employee failed they were given another chance. I will say my branch manager was such a huge support and fought to see if there was anything that could be done.
142,4,You have to work to get the rewards,"LOTS of opportunity if you are willing to work hard and be humble. A company this big always has a place for the right fit person. It also has an endless opportunity to learn how things work in the financial services industry, if you are flexible, willing to move laterally, and in some cases, geographically.","Generally pays middle-of-the-market and due to the economic downturn, doesn't bonus to meet/beat the market, as in past. Also, there are still a number of VERY difficult personalities and politics (as there would be anywhere), and some of them advance up and fast, so you have to be willing to tolerate that. Sometimes, finding the right management fit, which can make a vast amount of difference, can be difficult. You can make more and move higher by leaving and coming back. Lastly, you have to have a level of tolerance for the uncertainty of the market."
926,5,Great experience if you're willing to work hard,"Great experience for students
Great staff
Fair salary
Company wide cookout every week","Long hours
Hard manual labor
Frequent superfluous meetings"
828,4,Good if you drink the cool aid.,"When management is good they are excellent. They moved mountains to allow me to take parental leave when it was important for me to do so. There is a great deal of pride in the company from Apple employees, which is justified. Having the brand on ones resume is surprisingly influential. The employee discount is very generous. Some of the customer interactions are very fulfilling on a human level. It is relatively easy to transfer stores, even internationally.","There is a great deal of competition between staff members and it is usually the ones who evangelise the brand most who come out on top, regardless of performance. More than once I was passed over for promotions or other rewards such as trips to Cupertino and additional training opportunities, despite consistently being one of the stores top performers (contrary to popular belief, Apple Store employees do have targets). This is one of the reasons I left; management did not want to take me out of my sales position (known internally as 'the Red Zone') where I was a solid performer and allow me to stretch my wings. I was only the second person in the stores history to receive the maximum possible ranking in my annual review. Subsequently I saw many junior staff members whom I tried move ahead given opportunities I missed out on which eventually made me feel disillusioned."
656,1,Awful Work Environment and terrible consideration for employees,"Good pay
Easy job
Okay hours
Easy to commute","Terrible managers
Systems that don't work
Unfairly strict with breaks, and will call you into HR for being 40 seconds late"
332,1,Terrible Unscrupulous Business Practices,Work from home(but that is Covid related),"Benefits are extremely expensive, dont want to pay their employees what their worth, horrible management, no working with employees if management has issues with them - just fire them or demote without any warning. Management is extremely fake. Unrealistic expectations for the amount of pay. Won't pay you over time."
665,1,Company with the worst employee handling attitude.,"No pros for this company. Joining this company itself is worst experience of mine.

Behaviour with employees in a pathetic way is something this company teach

Best in providing fake reviews

Favouritism with employees leading to the worst team management","Worst manager.
Management is poor in managing team and also poor in providing increments

Asking for bonds if need increments
Don't know how to talk with experienced person. For them employees are like puppets.

Worst experience of HR and policies
All experienced developers have left this so called company."
250,3,"Growth at the beginning, then toxic and stressful afterwards","-During school year, you will have mornings and Fridays off so you can run errands. 
-It feels rewarding when students and families see the result of your efforts and trust that you will achieve their academic needs and goals. 
-Most teachers are dedicated and friendly. 
-You are in charge of your own center with your business style (as long as you make the sales). 
-You will learn a lot of how to run the business. It is a great opportunity in your resume if you want to grow in the education field.","-Work on Saturdays. 
-Extreme pressure under the management when you fall behind the sale target, so the District Manager will micro-manage you. They will ask you to work above and beyond the job scope because you are salary paid. 
- They ask you to meet the sale while well managing current students' academic progress. Too many plates for one person. 
-Since the new CEO comes, they spend millions of dollars in new software: Microsoft workspace, Salesforces, Docusign. I don't even know if the implementation are necessary or they should use this money to other areas. They give you the new laptop but tell you it is not connected to the printer so you still need the old laptop for printing :O
-High turnover rate of education coordinators, because they are demanded to do so much work while under paid. There is no room for career growth if the center director stays for years."
908,4,"360i was great, DAN not so much","Unlimited PTO, Summer Fridays, 1 week of Holiday Break, generous holiday calendar, several office events, insurance, TicketsAtWork, 401K with match, pre-tax metrocard, adoption and fertility assistance, fun clients, free alcohol, rooftop.

The coworkers are very cool and there are several notable clients. Folks were very open to talk about my career plans and letting me sit in on meetings to figure out what I’m interested in. Office events were fun and not too forced. Leadership was very respectful in my experience. Room for upward growth, but not as flexible with switching departments.","Halfway through my time there, our team got switched over to dentsu instead of 360i. That stripped us of our unlimited PTO and Summer Fridays, which was a real bummer. It seemed like we always had different rules because of this. Because I was on the Office Hospitality team, I often felt like an outsider looking in. We were treated with respect mostly, but never really felt like a part of the team. Due to COVID, I was furloughed for 8 months then eventually let go. Tried applying to entry-level positions/apprenticeships so I could stay with the company and grow in my career. They put on a front about wanting to help me but never really did anything about it, even though I was very passionate about the company, its clients, and culture. Wish it didn’t end on a sour note, but I still see the company in a positive light."
709,3,Pick wisely,"Each program office at DOE has its own culture, some are much better than others. Do your homework to avoid heartache.",Some managers are extremely hostile and disrespectful towards veterans.
306,2,Unequal pay,Freedom in classroom to teach using your own style,"New employees hired at a higher wage than loyal, longtime employees. Be careful."
735,1,Literally terrible,"Benefits, competitive wage, some nice people","Literally terrible work environment. 5 sick days for the whole year and then every time you get sick after that you must provide a note or you'll get a write up. Your stats/bonus all depend on your sales. Despite working in loyalty/customer care. They also track how many times someone calls back within 1 week of speaking to you. If they do, it will impact you negatively. Of course you can see into the future and solve issues before they happen! It will also impact you negatively if someone cancels within 60 days of speaking with you. And of course, if you have to cancel someone too. They only want you to sell phones. They will put you on a ""performance plan"" you have to meet if you are not hitting your stats, or be terminated. Even though the stats are only supposed to ""encourage"" you to get additional bonus pay. It's for them. Not you. This prompts other agents to feel pressure to sell plans and has agents lying through their teeth about phones they're sending to clients/plans they are being given which results in later escalations and call backs... usually once it's too late. Just horrible."
976,4,In transition,"Virtual environment/ work-from-home
Benefits
Culture
Vacation policy 
Bonus’ off company profitability","Frequent re-orgs
 Bad leadership
Lack of Growth Path/Opportunities"
50,4,Solid,Size and reach give great scope,Size and spreqad of function limit innovation
897,5,Salary,Good place to work and great perks,Few hours during certain periods and promotion
3,4,Great,Good and best and bestest best,Not bad and not bad and not bad
545,3,Strong leadership needed,Great people - wonderful team to work with Benefits and pay fair Wonderful projects and interesting client roster Beautiful working space Huge growth potential,Lack of direction Lack of training and support Very little consistency Making decisions for the good of the entire business
351,3,Beware Inarticulate Bosses,Some of the most intelligent and creative people I have ever worked with in my career.,"Some the most lacking emotional intelligence people I have ever experienced. I am very familiar with Agile Environments, but having a boss that is incapable of articulating their goals without loosing their emotional disposition is unfortunately a norm here - even in the late 2000's!"
905,1,BURN YOUR RESUME BEFORE APPLYING HERE,"If you like clueless, and money hungry/screw you over on your dime. This is the place for you.","They will just drop you in whatever country you are in and good luck getting home. Don't matter if there is a pandemic or not. You might get a plane ticket, maybe."
537,1,a sinking ship,"in the beginning working here was viable and there was money to be made
awesome coworkers (not the higher ups)
remot","once they went public this place went downhill FAST uncessary programs and ""improvements"" hiring new staff while simultaneously laying off hundreds. Overworked, pay cuts, removal of promised bonuses, changes to policies constantly, constantly changes to all benefits"
345,4,"Great company, lots of opportunities","Lots of opportunities, company cares about the people and culture, lots of resources so you can always have someone to consult.","Lots of restructure so you lose corporate knowledge and intelligence, meaning you start at square one again. In projects, lot's of focus about deadlines and having to meet deadlines no matter what, however lack of taking a structured appproach with proven techniques, sometimes favouring 'whatever it takes' attitude over a measured approach."
995,1,Stay away,"Some co-workers are nice, good products","Bad management, terrible response to covid, no raises, toxic work environment"
482,4,Positive Review - little bad to say,"- very nice owners who care about employees. 
- lots of overtime available in this position.
- direct supervisor is very attentive and will help when he sees you are in need. He cares about your success and growth in the industry.
- co-workers are very nice - everyone seems to have similar mindsets. 
- very fun atmosphere
- large cubicles and enough space for personal space
- you will find yourself growing very quickly when you work hard and prove your worth.","- employee must be able to work in a fast-paced environment and be able to handle stress with ease.
- must have thick skin in industry"
576,4,less opportunity with old style management,"more holiday, you can touch a complex framework and various technologies.","system over designed and very complex, needs time to understand."
34,4,"Work hard, avoid drama","If you work hard and have ambition, you will be very successful and make a great deal of commission!  You decide how successful you are; Verizon will not hinder you.",There are A LOT of politics.  I had a manager that was a horrific bully.  She continually got away with picking on people.  She would form clicks with some and destroy the others.
32,2,High School Revisited,They begin paying at $15 an hour for most people.,"At their highest levels, they are unprofessional, egotistical and shallow. The medical benefits don't kick in until you're in thousands in debt and management is incompetent."
232,2,Theres tradition and theres downright old fashioned,"Agency network
Clients
Potential of what could be
Training
Underwriting","Good people leave
Poor management/leadership
Overly hierarchical
Rigid/lack of agility
Pretend to care about staff and clients
Lack of market knowledge
Lack of insurance knowledge
Stuck in their ways with no desire for change
Lack of promotional opportunity (people either stay forever or leave relatively swiftly - the good ones tend to leave)"
964,2,Steer clear,Good pay when actually paid,"Long hours for low salary, long drive time with no reimbursement for gas or vehicle maintenance, poor installation and permit approval times, and you are forced to do things to people that are morally/ ethically questionable."
193,1,Team Leader - Teleperformance,The office its big and its almost all time clean.,"The organization is completely non-existent, the senior managers are despots and do not hesitate to denigrate and even insult the workers in private meetings. They see workers as objects or numbers, it is a company that I would not recommend under any circumstances."
334,1,Entreprise qui doit réinventer sa gestion et s'adapter à l'air du temps,Salaire fixe un peu plus élevé qu'ailleurs.,"Pas de primes de participation ni d'intéressement depuis 3 ans. Management inexistant, plus intéressé par les résultats que le bien être des collaborateurs ou la réelle satisfaction des clients."
4,2,Vodafone is an Egotistical Company that only cares about its net promoter score,Unfortunately there were no pros during my time working for this company.,"Retail Stores are severely understaffed.
New system called seibel-none of the staff know how to use properly.
Bonus is all based on Net Promoter Score. Their are three questions asked, however Vodafone only care about the first one- would you recommend Vodafone to a friend or family unless customer gives 9/10 staff members are penalised. Staff can potentially loose their job based on this system. Unfortunately what Vodafone do not realise is that people will rank Vodafone based on their whole experience not the last one.
The majority of departments that can actually resolve a customer issue are only available to be contacted via an email."
205,1,Okay,"Better clothing, and nice customers","Betrayal of employees, always looking to find mistakes"
515,1,Mediocrity all round especially in leadership,Social environment and quality of employee entertainment,"No culture of quality and learning whatsoever Leadership very green, low humility - high ego - know it all"
800,3,Competitive environment but not much growth,"Pretty good benefits. Stayfit benefit was nice where you can get a gym membership, reimbursement plan, or a flat stipend. Healthcare wasnt bad either.

Stable job environment. Retention is fairly high and there are a lot of seasoned coworkers.

Company is stable and many product areas to try.

An obvious one, but the status that comes from working for an iconic company.","Not as much room for promotion or growth (at least on the team I was on). People were very competitive, but the vibe was that management expected people to work with both ends of the candle burning as the norm.

While there are many product areas, my impression is that exploring other teams and trying to transfer to another is strongly discouraged. Transfering to a different division is even more of a challenge.

Not much support by management to explore areas of interest in terms of new tools or technologies. This might have been a culture trait of my team.

Lots of redundant menial work that should be automated, but no bandwidth given to work on tools for these. Also a lot of the existing tools were slow or error prone and needed to be improved or redone, but again no bandwidth given for these.

Not great at onboarding new employees in my team (I am not referring to the general NEO done by HR). Lack of training materials and outreach to integrate new FTEs."
307,4,Amazing and fascinating experience that shaped my career,"Creative atmosphere and deep Disney history 
Product is happiness and the environment reflects that and makes it a great place to work.
Multiple opportunities for advancement","Sporadic workload
Compensation could be more competitive"
110,1,Stay away with this company. Someone in past wrote very true that they lie and manupulate,"1.You will get immune to the worst ever politics and unprofessionalism as no other company can be more unprofessional like this. 

2. You can learn how to deal with fake company and management like this. 

 3. You will learn how to digest the biggest lies, as each and everyone here is a liers and fake specially the HR and so called seniors.","1. They never credit the salary on time in the history of this company not even a single time, moreover sometimes they do not even credit the salary and they do once in 2 months or once in 1.5 month. 
2. They have never credited performance linked amount inspite of fullfiling there criterion(once you complete 5 years) and no one ever got there plp amount till now. 

3. They have all information present in website or other sites are false and there are less than 20 employees overall and only 2 offices in total which they claim  in Singapore and delhi but there are no offices there. 
 4. Previous experience they show are all fake as there employees uses top company brand name to show they have worked there in past. 

5. They are not management consultants and they don't have any project ongoing or any client they make fool to new joiners as say they will give training but sadly they themselves need to attend some training as they know nothing about business. 

6. Almost everyone left from the company and those who are there always talks about running out once there salaries of previous months which was on hold for long time will get credited. 

7. They post fake job openings just to look cool in social media. 

8. They hire knowledgeable people for such a small time like one two or three months to get a task done, learn from them and then they not able to pay them the salary. 

9. Many more"
431,1,WOW....,very fun atmosphere and most people nice.,they let me go after (barely) training me fir a month.
78,1,Does Not Honor their Mission statement and Values,There is not one 'Pro' at this company,"No Communication, so you can't do your job efficiently and correctly. No training. Gossip and extremely unprofessional Sr. leaders who lack much needed knowledge of managing an organization. Discrimination and you feel like you're walking on egg shells all the time. very heartless management with one-sided views who aren't open to others thoughts or suggestions. No empowerment; no room for growth; low team morale across the board, whether it's in the clinics or their corporate headquarters. Worse place I've worked in my whole life. Horrible work environment and thick air 24/7. If you want to feel undervalued and not appreciated for your dedication and hard work, :(, work here."
85,1,Very toxic company,"There are some pretty talented people there, but the only ones that last are the ones who are either yes people, or the ones who somehow happen to agree with management...","Very toxic culture, crazy high turnover, big whale customers clearly steer the ship, very unlikely it will ever manage to turn a profit due to insane overhead. You can give you're all to the company, generally over-extending yourself, but the minute you disagree and push back, you're gone with zero warning. Promises are made to investors without factoring in the reality of how that will harm the employees and then employees are expected to make up for the inadequacies of management. The business chases whales instead of thoughtful business practices. Their business is too heavily reliant on service providers that make the concept of them ever actually growing from a startup to a mature company completely implausible. They've been around for 10 years and still consider themselves a startup and use that to make excuses for lack of vision and guidance. Buyer beware."
287,1,Think well before you commit,"- De-risked environment for inexperienced people, who want to company a sort-of company building with some job predictability
- Smart and multi-cultural mix of entrepreneurs in residence
- Potential to acquire important lessons on how not to build a startup and where your resilience limits lie","- Manipulative and non-transparent exec team
- Micromanagement of the extended core-team members towards inexperienced teams
- The potential return on your investment and deferred salary losses makes no sense in the long-term
- Extreme turn-around and employee churn due to the toxic culture. People are treated as if they were easy-to-discard resources"
83,3,The company is stagnant.,Casual dress. General sense of friendliness at the office.,"The longer you work at Kipsu, the more you realize that the company is spinning its wheels. Yes, Kipsu was impacted by COVID-19 more than other software companies (being entrenched in the hospitality industry) but even despite that, before the pandemic and through the recovery, you can see that Kipsu is just sputtering along. The product barely ever changes. Sales goals are often not met. Bugs are rarely resolved. Customers request things that rarely ever get followed through on. As a whole the company is way too frugal and tries to DIY everything, which makes the employees feel strapped and overworked."
992,1,Most Toxic Culture Ever,"Opportunity for growth, work location is very versatile","Expensive benefits, pay is low-balled if you don’t negotiate, micromanagement is exercised from the top down, hyper-inflated egos of certain leaders, inconsiderate boss who is far from impartial and less than fair, laughable reps and practices, no sense of TEAM, different management attention and treatment for different associates, non-involved execs, supervisors will ignore you in petty fashion for giving notice to resign then harass you after you leave the company. Upper management is routinely dishonest with clients (and will do everything to stop you from exposing it)."
790,1,Fundamentally broken due to poor management,"To be fair, benefits were good, there were quite a few company parties through the years and there were short massages each week for those who wanted them","Where to start? The family who owns this company are a group of manipulative, selfish people who look down on others and have a silver spoon in their mouths. At first I was excited about my career here, though quickly came to realize that vertical movement was entirely dependent on how much you could suck up to the bosses, how loud you were, and how much you would let work intrude on your personal life. I've seen people describe this place as an ""environment for self starters"" and ""not for those who are lazy"" but that's just another way of saying they will use and abuse those who put up with it, and those who want to be treated with respect are fired. I saw dozens of people go through the company like a revolving door. The owner refuses to censor himself and would make lewd remarks on a daily basis to the point HR had to follow him around. He'd make a show of having employees of minority groups for his own optics at company parties and on calls, while also forgetting their names on regular weekdays. I know for a fact that the female employees who I worked with made 20% less than I did as a new hire. Many of their senior employees openly admitted to me that they were racist and/or sexist, patting me on the back for that previous fact that I was making more than my female Indian coworkers and saying there's nothing wrong with it. Management was aware of this and turned a blind eye to it. In addition there were a handful of scandals through the years of their favorite employees needing to be bailed out of jail, and the owners would personally step in to sweep it under the rug. As mentioned in other negative reviews, there is an environment of ""you can do it if you put in the effort"" initially but in reality it turns into a setting of passive-aggressive tension at all times, with axes hanging over peoples heads every month."
895,3,Great place to start out of college but that's about it. It seems like the company does little to keep good employees,Great learning environment and free ceu's,Little pay with no advancement
399,5,"Fantastic Company, Amazing People","I worked for Fahlgren Mortine for about 1.5 years and it was an exceptional experience. There are many talented people that I was able to work alongside and learn from. Management is open to receiving feedback, supportive and creative. The teams approach new projects with fresh ideas, making it exciting to be involved and in turn, being proud to be a part of the team. There are many opportunities to get to know other team members (across a large company) because they are sure to do monthly activities - and did a great job boosting company morale even during a pandemic!",The structure of the company is very different. I think that causes some confusion in the different roles and departments.
324,2,Working for CAT,Working with reakly good people,It is not a well run company
520,3,A good place to start but not to stay,"Friendly work environment, like-minded employees, provides good experience and trains in transferable skills, encouraged to write as much and freely as you like - good for creating a portfolio of work","Too many people to a team due to mass employment, the wage is low for the amount of work required, things offered as opportunities for progression but not reflected in pay/pay reviews not offered"
917,2,Do Your Research!,"• I got paid a decent salary.
• My coworkers were great people.
• I was lucky and was on the most profitable team at the company so I wasn’t as micromanaged as the other teams.","•the commission structure is horrible 
• no work life balance. We only developed balance because of Covid. 
• management lies A LOT. They’ll tell the teams anything to cover their mistakes. Please don’t think they are on your team, you are just a number. Management is very shady in how the navigate the staff, working people to the bone with very few perks. Not many holidays off, you earn half a day off every month. So if you’re sick you go unpaid or a negative PTO balance. 
• they beg you to not leave negative reviews on the company. Please please PLEASE know that so many of these are fake! 
•JumpCrew is a boys club. They care so little about diversity so if that’s important to you, I would also take note that there are very few women or people of color in management &amp; throughout the company as a whole. A coworker mentioned the discrepancy to management a number of times and there were always promises of change."
923,1,"Overworked employees, bad attitudes, lacking forward thinking and outdated technology",Unique office environment and location.,"-No work life balance, always rushing to complete projects on unrealistic timelines, very reactive not proactive.
-Outdated technology, product development systems and communication tools, way too many emails and duplicative work.
-CEO is involved in everything, only leadership opinion matters.
-Attitudes are very poor, especially from leadership, very negative and not solution orientated.  Leaders will argue with each other in group meetings.
-Unpleasant culture, not forward thinking, strategic or looking for ways to improve.
-Sourcing and overseas vendors do not support the customers needs and on trend development.  This involves presenting ideas to customers that are old or not fully developed, tested or executed, resulting in reactionary steps on the back end.
-Domestic QA is a joke, not sure what they do, always complain, not helpful in finding solutions or proactive planning.
-The corporate office is unique but outdated, invest in the right organizational tools, storage, workrooms, offices, gathering spaces and technology to support a team that must go into the office."
6,5,Commercial Product Internship,Very inclusive and helpful environment which made succeeding in the role very achievable.,Nothing sticks out to me that I would change.
732,4,Great work culture,"I really enjoyed working here, and honestly would love to work at Valencia again in the future. It's a team environment but in the good sense. In my experience everyone really did work together and look out for each other. My supervisors were nice, helpful, and genuinely interested in seeing that our days were made less stressful. The pay was fair for the work. My coworkers were really some of the best and made the days a lot more fun .","Unfortunately, there were very limited hours. Even most professors are only given part time hours. It just isn't enough to sustain yourself on, and a lot of my coworkers had second (or third) jobs to try and make ends meet. 

This is also not the place to be if you're looking for advancement opportunities. It's not that it can never happen - I was one of the few that actually WAS promoted to a higher paying position - but it's very rare. In general they prefer to hire student workers through their work study program, which I find rather scummy, if I'm being honest."
466,2,"Do well, and we'll give you more responsibilities and no additional pay!","Decent and inexpensive benefits (medical, health and free flights -- standby!), good camaraderie.  Different events to show the company's ""appreciation"" of you,","Very low starting wage.  Be careful of the union not protecting you for the first 7 or so months of your job.  In the reservation center, if you do well, expect that you'll be asked for more responsibility but without any sort of pay increase despite dealing with pissed off customers and co-workers asking ridiculous questions despite having over 5-10+ years more tenure than yourself."
98,2,Analista Pleno,"Plano de carreira definido
Bom para inicio de carreira","Baixo salário
Dificil conseguir promoção, quanto maior o cargo mais político fica para subir.
Dependendo do projeto há acúmulo excessivo de horas extras"
267,3,Covid-19 sucks,Great concept and salary was very competitive with other retailers.,I think that Covid-19 stopped the company from moving forward with plans for the future. However the company was making drastic changes before the pandemic that were very difficult to work through.
358,1,A Mess,You feel cool wearing a Tesla logo,"Working at Tesla was a nightmare; the stress was insurmountable. It was a chaotic, hostile environment. Every quarter they were changing our compensation, or job requirements. A lot of things didn't seem legal as it pertained to how they were changing things. The most incompetent employees were promoted - especially to director. This then had a domino effect on the rest of the employees. Most of the time, no one knew what was going on, and the worst part of it was how the customers were being handled with gross neglect. I'd also like to mention as a female employee, it was very apparent that women were not respected in the workplace, and were not given the same opportunities as their male counterparts. Overall, Tesla seems like a cool company that's trying to change the world, but the reality is it is a giant, chaotic mess. One bad decision after another."
869,2,Dropped staff with no warning when covid hit,"Relaxed environment around the office, friendly coworkers, lower management was making attempts to modernize testing approaches at the time I left (introducing automated testing, making moves towards agile), a few good eggs.","Upper management halted all progress even after hiring progressive lower management, created environment of apathy. Slashed a ton of staff as soon as covid reached Lincoln, after making motions to enable remote work. Soul killing."
799,5,"Wonderful People, Management Is Amazing","The best work environment, remotely... They are so amazing. These managers are professional and down to earth. They compel you to be your best","The pay is terrible but if you work enough OT, it'ss be alright."
381,2,"Good Pay, Bad Behavior","Higher pay than any other district in the state (besides perhaps Park City)
Low expectations
Teacher's union fights for you","Will most likely teach in some of the roughest neighborhoods
BAD behavior (fighting, drugs, etc)
Gang violence is high
Too many outside of school hours required"
632,5,Great job for students,"Flexible hours, meeting new people, meal discounts, various area to work in","Long time for advancement, rude customers"
382,4,Fun place to work,Good time environment and support,"Not great money, can't progress if part time."
491,1,Love doing what I do if I could actually do my job,"Flexible hours , not much more I can say","Hahaha , where do I begin , so many to list not sure where to start ."
119,1,Bad,People were fun to work eith,Not worth the pay at all
901,2,Great school to learn how to deal with work enviroment toxicity,"Competitive salary for entry level developers
Porto office is well located
You can find great people in the company.
Effort by the HR to make people feel well and happy.
Company car for team leads and principal engineers.","Toxic culture.
 - Blame
 - Knife on the back
 - Unfair end of the year performance reviews

No career path

Terrible/horrible code bases in most projects.

Terrible management all the way from bottom to the top"
251,4,"P&amp;G was great, locations weren't for me","This is a company with history and reputation. It is well recognized, selective and takes care of it's employees.
Great pay, especially for the mid-west.
Perfect place to be if you want to be a business oriented engineering project manager.","Seemed like a place where projects move slow and change is incremental.
Cincinnati didn't excite me."
524,1,You are not going to be here long,"If you think you have good skills, mental health, and such good qualities and feel like reducing them, get in there.","As the title says, brace a culture where they are not expecting the employees to stay long.

Unlimited leaves, but on ""your managers' approval"", haha n that never goes smooth even if you take less than twenty leaves in a calendar year. 

You get to work with people who gets ""embarrassed"" (quoted word) and go for an escalation when you point out that they are coming up with contradicting requirements in a planning meeting.

Best culture for a remote-first company. ""People not only lack empathy to reply to slack, but they also don't have email or meeting etiquette"". 

5% is a very decent hike (So, if you think you did your salary negotiations well... haha).

There is no trust between the US engineering team and the India engineering team, so it's you don't have to do ""much"" if you are in India.

Congratulations for making till here among all the fake/paid reviews. You should be able to figure out that this review is true if you pay a little attention during your interview. The person who took the most interview is the manager of the team where 50% of the folks left the company within 1 year of his service.

Maybe you should search ""Life @ Clari India"" in leetcode career discussions for uncensored versions."
10,1,Worst company,Nothing good about this company.Although they are sweet initially at the time of interview that everyone feel that it is a great place to work.Only salary package is Okk over here.,"1.No job security
2.Management will only shout at you &amp; make you feel ashamed &amp;embarassing even for small mistakes. 
3. No good work culture. 
4. Lot of politics. Especially senior people, they put a blame on you for every mistake. 
5. Hiring process too slow . All senior HR's are so irresponsible that it's difficult to work as a team with them becoz they will try to dominate &amp;put a blame of theirs on others."
197,4,sort sort sort,company pays its employees very well,work is provided at steady pace and is very challenging
604,5,Dynamic tech start-up,Great team and management that create an open and motivating working environment where everyone is equal and where everyone's ideas and opinions are heard and encouraged. It's a great place to work for anyone wanting to make an impact and also be part of the tech world.,Must feel comfortable making decisions and having a certain level of autonomy/responsibility.
82,1,Terrible management,The residents and co workers,"Everything else . Management , pay, short staffed"
784,1,Terrible culture at UK Asset Management,Good exposure to different elements of portfolio management,"Chief Investment Officer (CIO) is a contemptuous and obnoxious (in his own words) bully. Culture is shocking with 1980s work practices the norm. Discrimination on both mental health and parental responsibility grounds, with HR being totally inept at protecting the vulnerable. Bullies are protected by the business. Do not work here- it will destroy your mental health. MUFG Asset Management pays well below market standard and there is no upside. A sinking ship."
588,5,Wonderful work life balance!,"Great balance, great leaders! Loved my time there with great teams!",Not many at all! There is a lot of organizational shift.
798,1,Terrible place to work,Pay is good that's about it,"Everything else, it was a great company to work for but the leadership destroyed all was good with the company. Too bad. Over worked and stress isn't worth the money"
240,1,"A company in total disarray, run very far away very very fast",A somewhat diverse group of software engineers,"toxic work environment ""managed"" by an emotionally unstable group of people (who are also the team leads and friends with each other)."
291,1,Management is running this company into a ditch!,"Innovative technology, smart developers, great industry knowledge","Middle management is bloated, incompetent and has no understanding of the technology
The CEO is a puppet of the VC firms and is doing everything he can to artificially drive up the company's value
They have had poor execution of market strategies and very unhappy customers. They are driving all of the good talent out and outsourcing product development
The CEO has hired the worst team I've ever worked with, all friends from former companies
They systematically let go of people once they have reached a certain age/salary
Terrible HR department, very unethical
Complete lack of diversity within the organization"
212,5,Great company,"Good benefits, management, all around beneficial",None that I can think of
718,3,Average level,Not much good in anything,Salary structure is too low.
